16
H1N1_PB2	H1N1_PB2	MissingGeneType
H3N2_PB2	H3N2_PB2	MissingGeneType
H1N1_PB1	H1N1_PB1	MissingGeneType
H3N2_PB1	H3N2_PB1	MissingGeneType
H3N2_PA	H3N2_PA	MissingGeneType
H1N1_PA	H1N1_PA	MissingGeneType
H3N2_NP	H3N2_NP	MissingGeneType
H1N1_NP	H1N1_NP	MissingGeneType
H3N2_M	H3N2_M	MissingGeneType
H1N1_M	H1N1_M	MissingGeneType
H3N2_NS	H3N2_NS	MissingGeneType
H1N1_NS	H1N1_NS	MissingGeneType
H1N1_HA	H1N1_HA	MissingGeneType
H3N2_HA	H3N2_HA	MissingGeneType
H3N2_NA	H3N2_NA	MissingGeneType
H1N1_NA	H1N1_NA	MissingGeneType
